Date/Time,Electricity:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Electricity [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly) 
 01/13  15:00:00,397115973.7,541250447.1,0,0,8229027.923,0,94797922.68
 01/13  16:00:00,402003933.5,615935900.1,0,0,8198641.402,0,87033793.35
 01/13  17:00:00,564732458.7,893851878.5,0,0,8296995.018,0,98667411.88
 01/13  18:00:00,706141734.3,848186010.1,0,0,11087231.83,0,511079539.1
 01/13  19:00:00,897614448.6,721847505.5,0,0,15041022.56,0,587264314.3
 01/13  20:00:00,948191774.3,592938448.8,0,764674.7479,16405311.31,0,582248081.9
 01/13  21:00:00,1013520715,528952537.3,0,2392067.637,13575936,0,548587543.9
 01/13  22:00:00,939258397.4,488564495,0,1954167.559,14967270.23,0,591697162.6
 01/13  23:00:00,730815631.6,525924130.1,0,0,12319637.57,0,580284622.6
 01/13  24:00:00,514262116.4,615180463.1,0,0,7083123.518,0,482715550.8
 01/14  01:00:00,358793614.8,611890266.2,0,193474.6437,5520546.175,0,459823416.6
 01/14  02:00:00,356313850.8,626156224.7,0,0,4349055.58,0,58608896.96
 01/14  03:00:00,313177996.7,612371109.2,0,372191.6916,4130807.645,0,58556180.08
