Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 10/06  08:00:00,116579143.5,28252739.55,0,0,65675713.81,22650690.18,27670410.75,27670410.75,0,,,,,,,,,,,,,,,,,,,
 10/06  09:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  10:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  11:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  12:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  13:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  14:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  15:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,85839.37731,85839.37731,0,,,,,,,,,,,,,,,,,,,
 10/06  16:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,606861.71,606861.71,0,,,,,,,,,,,,,,,,,,,
 10/06  17:00:00,175591340.4,28252739.55,0,0,118216284.9,29122315.95,4716553.098,4716553.098,0,,,,,,,,,,,,,,,,,,,
 10/06  18:00:00,160514099.2,28252739.55,0,0,78810856.57,25886503.07,32771145.7,32771145.7,0,,,,,,,,,,,,,,,,,,,
 10/06  19:00:00,174296099.2,28252739.55,0,0,78810856.57,25886503.07,100830795,100830795,0,,,,,,,,,,,,,,,,,,,
 10/06  20:00:00,157925143.5,28252739.55,0,0,65675713.81,22650690.18,137521076.4,137521076.4,0,,,,,,,,,,,,,,,,,,,
 10/06  21:00:00,80559537.06,0,0,0,26270285.52,12943251.53,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  22:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  23:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/06  24:00:00,54385197.15,0,0,0,6567571.381,6471625.766,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  01:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  02:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  03:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  04:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  05:00:00,52767290.71,0,0,0,6567571.381,4853719.325,0,0,0,,,,,,,,,,,,,,,,,,,
 10/07  06:00:00,74129030.26,28252739.55,0,0,6567571.381,4853719.325,564389994.7,564389994.7,0,,,,,,,,,,,,,,,,,,,
 10/07  07:00:00,51095320.97,28252739.55,0,0,13135142.76,9707438.65,438774125.9,438774125.9,0,,,,,,,,,,,,,,,,,,,
 10/07  08:00:00,83837232.26,28252739.55,0,0,39405428.29,16179064.42,363013678.1,363013678.1,0,,,,,,,,,,,,,,,,,,,
 10/07  09:00:00,132950099.2,28252739.55,0,0,78810856.57,25886503.07,248164221.5,248164221.5,0,,,,,,,,,,,,,,,,,,,
